customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed
28.0,management,single,tertiary,no,285.0,yes,no,unknown,26,jun,303.0,4.0,0,unknown,0
34.0,blue-collar,married,secondary,no,934.0,no,yes,cellular,18,nov,143.0,2.0,1,other,0
46.0,technician,married,secondary,no,656.0,no,no,cellular,5,feb,101.0,4.0,0,unknown,0
34.0,services,single,secondary,no,2.0,yes,no,unknown,20,may,127.0,3.0,0,unknown,0
41.0,blue-collar,married,primary,no,1352.0,yes,no,cellular,13,may,49.0,2.0,0,unknown,0
65.0,retired,married,primary,no,2880.0,no,no,cellular,23,apr,163.0,1.0,0,unknown,1
57.0,blue-collar,married,primary,no,495.0,no,no,cellular,18,aug,687.0,4.0,0,unknown,1
37.0,management,married,tertiary,no,650.0,yes,no,unknown,26,may,210.0,1.0,0,unknown,0
29.0,technician,married,secondary,no,265.0,yes,no,cellular,19,aug,160.0,2.0,0,unknown,0
50.0,blue-collar,married,secondary,no,407.0,yes,yes,cellular,7,aug,233.0,2.0,0,unknown,0
52.0,blue-collar,married,tertiary,no,1779.0,no,no,cellular,19,nov,1195.0,3.0,1,failure,0
35.0,technician,single,secondary,no,5212.0,yes,no,cellular,7,may,303.0,2.0,0,unknown,0
18.0,blue-collar,single,secondary,no,420.0,yes,no,cellular,16,apr,478.0,1.0,0,unknown,1
50.0,management,married,secondary,no,4873.0,no,no,telephone,6,feb,381.0,6.0,9,failure,0
55.0,blue-collar,married,primary,no,762.0,no,no,unknown,18,jun,66.0,1.0,0,unknown,0
42.0,management,married,tertiary,no,55.0,yes,no,cellular,17,nov,57.0,1.0,3,failure,0
37.0,blue-collar,single,primary,no,3.0,no,no,unknown,5,jun,21.0,1.0,0,unknown,0
41.0,technician,married,secondary,no,-3.0,yes,no,cellular,16,apr,138.0,1.0,1,failure,0
41.0,services,married,secondary,no,-145.0,no,yes,unknown,6,jun,201.0,1.0,0,unknown,0
53.0,retired,divorced,secondary,yes,-204.0,no,yes,unknown,6,jun,176.0,1.0,0,unknown,0
58.0,blue-collar,married,secondary,no,1.0,no,yes,cellular,22,jul,138.0,2.0,0,unknown,0
70.0,retired,divorced,primary,no,479.0,no,no,cellular,2,jul,241.0,2.0,0,unknown,1
34.0,blue-collar,married,primary,no,3.0,yes,no,unknown,21,may,49.0,2.0,0,unknown,0
31.0,management,single,tertiary,no,3.0,yes,no,unknown,9,may,80.0,3.0,0,unknown,0
41.0,entrepreneur,married,primary,no,150.0,no,no,cellular,20,aug,75.0,2.0,0,unknown,0
34.0,services,single,secondary,no,1038.0,no,yes,unknown,3,jul,89.0,1.0,0,unknown,0
28.0,services,single,primary,no,340.0,no,no,unknown,4,jul,256.48121337469837,3.0,0,unknown,1
38.0,technician,divorced,secondary,no,528.0,no,no,cellular,29,jan,212.0,3.0,7,failure,0
45.0,admin.,single,secondary,no,10390.0,yes,no,cellular,20,nov,101.0,1.0,0,unknown,0
33.0,admin.,single,secondary,no,54.0,no,no,cellular,29,jan,399.0,1.0,0,unknown,0
25.0,student,single,tertiary,no,192.0,no,no,cellular,3,apr,57.0,2.0,0,unknown,0
61.0,admin.,married,primary,no,882.0,yes,no,cellular,30,jan,113.0,5.0,7,failure,0
